INFO 2022-12-19 16:48:00,598 Symbol:  ETHUSD | Position:   59 | close price:  1186.27 | Side: SELL 🔴 | Profits: -30819.79 | Quantity:    1 💵
INFO 2022-12-19 16:49:00,847 Symbol:  ETHUSD | Position:   58 | close price:  1186.12 | Side: SELL 🔴 | Profits: -29633.67 | Quantity:    1 💵
INFO 2022-12-19 16:50:01,119 Symbol:  ETHUSD | Position:   57 | close price:  1186.58 | Side:  BUY 🟢 | Profits: -30820.25 | Quantity:    1 🤑
INFO 2022-12-19 16:51:00,379 Symbol:  ETHUSD | Position:   58 | close price:  1186.58 | Side:  BUY 🟢 | Profits: -32006.83 | Quantity:    1 🤑
INFO 2022-12-19 16:52:00,667 Symbol:  ETHUSD | Position:   59 | close price:  1185.81 | Side: SELL 🔴 | Profits: -30821.02 | Quantity:    1 💵
INFO 2022-12-19 16:53:00,867 Symbol:  ETHUSD | Position:   58 | close price:  1186.15 | Side: SELL 🔴 | Profits: -29634.87 | Quantity:    1 💵
INFO 2022-12-19 16:54:01,051 Symbol:  ETHUSD | Position:   57 | close price:  1186.42 | Side: SELL 🔴 | Profits: -28448.45 | Quantity:    1 💵
INFO 2022-12-19 16:55:00,248 Symbol:  ETHUSD | Position:   56 | close price:   1186.4 | Side: SELL 🔴 | Profits: -27262.05 | Quantity:    1 💵
INFO 2022-12-19 16:56:00,559 Symbol:  ETHUSD | Position:   55 | close price:  1186.05 | Side: SELL 🔴 | Profits: -26076.00 | Quantity:    1 💵
INFO 2022-12-19 16:57:01,206 Symbol:  ETHUSD | Position:   54 | close price:  1186.81 | Side: SELL 🔴 | Profits: -24889.19 | Quantity:    1 💵
INFO 2022-12-19 16:58:00,389 Symbol:  ETHUSD | Position:   53 | close price:   1186.7 | Side: SELL 🔴 | Profits: -23702.49 | Quantity:    1 💵
INFO 2022-12-19 16:59:01,345 Symbol:  ETHUSD | Position:   52 | close price:  1186.29 | Side: SELL 🔴 | Profits: -22516.20 | Quantity:    1 💵
INFO 2022-12-19 17:00:00,542 Symbol:  ETHUSD | Position:   51 | close price:  1186.06 | Side: SELL 🔴 | Profits: -21330.14 | Quantity:    1 💵
INFO 2022-12-19 17:01:00,793 Symbol:  ETHUSD | Position:   50 | close price:  1186.49 | Side: SELL 🔴 | Profits: -20143.65 | Quantity:    1 💵
INFO 2022-12-19 17:02:00,999 Symbol:  ETHUSD | Position:   49 | close price:  1186.64 | Side: SELL 🔴 | Profits: -18957.01 | Quantity:    1 💵
INFO 2022-12-19 17:03:00,178 Symbol:  ETHUSD | Position:   48 | close price:  1186.36 | Side: SELL 🔴 | Profits: -17770.65 | Quantity:    1 💵
INFO 2022-12-19 17:04:00,465 Symbol:  ETHUSD | Position:   47 | close price:  1186.17 | Side: SELL 🔴 | Profits: -16584.48 | Quantity:    1 💵
INFO 2022-12-19 17:05:01,431 Symbol:  ETHUSD | Position:   46 | close price:  1185.99 | Side: SELL 🔴 | Profits: -15398.49 | Quantity:    1 💵
INFO 2022-12-19 17:06:00,868 Symbol:  ETHUSD | Position:   45 | close price:   1185.6 | Side: SELL 🔴 | Profits: -14212.89 | Quantity:    1 💵
INFO 2022-12-19 17:07:01,151 Symbol:  ETHUSD | Position:   44 | close price:  1185.79 | Side: SELL 🔴 | Profits: -13027.10 | Quantity:    1 💵
INFO 2022-12-19 17:08:03,156 Symbol:  ETHUSD | Position:   43 | close price:  1185.78 | Side: SELL 🔴 | Profits: -11841.32 | Quantity:    1 💵
INFO 2022-12-19 17:09:05,388 Symbol:  ETHUSD | Position:   42 | close price:  1185.32 | Side: SELL 🔴 | Profits: -10656.00 | Quantity:    1 💵
INFO 2022-12-19 17:10:01,635 Symbol:  ETHUSD | Position:   41 | close price:  1185.32 | Side: SELL 🔴 | Profits:  -9470.68 | Quantity:    1 💵
INFO 2022-12-19 17:11:00,919 Symbol:  ETHUSD | Position:   40 | close price:  1185.37 | Side: SELL 🔴 | Profits:  -8285.31 | Quantity:    1 💵
INFO 2022-12-19 17:12:01,283 Symbol:  ETHUSD | Position:   39 | close price:  1185.17 | Side: SELL 🔴 | Profits:  -7100.14 | Quantity:    1 💵
INFO 2022-12-19 17:13:00,466 Symbol:  ETHUSD | Position:   38 | close price:   1185.5 | Side: SELL 🔴 | Profits:  -5914.64 | Quantity:    1 💵
INFO 2022-12-19 17:14:00,788 Symbol:  ETHUSD | Position:   37 | close price:  1185.48 | Side: SELL 🔴 | Profits:  -4729.16 | Quantity:    1 💵
INFO 2022-12-19 17:15:00,995 Symbol:  ETHUSD | Position:   36 | close price:  1185.06 | Side: SELL 🔴 | Profits:  -3544.10 | Quantity:    1 💵
INFO 2022-12-19 17:16:01,215 Symbol:  ETHUSD | Position:   35 | close price:  1185.29 | Side: SELL 🔴 | Profits:  -2358.81 | Quantity:    1 💵
INFO 2022-12-19 17:17:00,409 Symbol:  ETHUSD | Position:   34 | close price:  1184.78 | Side: SELL 🔴 | Profits:  -1174.03 | Quantity:    1 💵
INFO 2022-12-19 17:18:00,910 Symbol:  ETHUSD | Position:   33 | close price:  1184.91 | Side: SELL 🔴 | Profits:     10.88 | Quantity:    1 💵
INFO 2022-12-19 17:19:01,300 Symbol:  ETHUSD | Position:   32 | close price:  1184.83 | Side: SELL 🔴 | Profits:   1195.71 | Quantity:    1 💵
INFO 2022-12-19 17:20:00,495 Symbol:  ETHUSD | Position:   31 | close price:   1184.9 | Side: SELL 🔴 | Profits:   2380.61 | Quantity:    1 💵
